CountyYear,Pop,All industry total,Private industries,"                Agriculture, forestry, fishing and hunting","                Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"                Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"                        Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,"                Educational services, health care, and social assistance",Educational services,Health care and social assistance,"                Arts, entertainment, recreation, accommodation, and food services","                        Arts, entertainment, and recreation",Accommodation and food services,Other services (except government and government enterprises),Government and government enterprises
Daggett2005,967,"47,634","33,330",S,"3,154","7,146","2,608",S,S,146,0,S,S,S,"11,438",13,"11,425",145,S,0,S,49,31,18,"4,820","1,672","3,148",S,"14,304"
Daggett2006,984,"46,680","32,794",S,"2,433",S,S,S,S,55,3,S,S,S,"11,617",15,"11,602",107,S,0,S,57,37,20,"4,744","1,637","3,106",S,"13,886"
Daggett2007,974,"47,810","34,150",S,"1,276","5,427",S,S,S,20,2,S,S,S,"11,423",13,"11,410",101,S,0,S,71,34,37,"5,987","1,585","4,401",S,"13,660"
Daggett2008,993,"55,752","41,421",S,"2,549",S,S,114,96,18,6,S,S,S,"14,675",2,"14,673",66,S,0,S,124,8,116,"6,838","1,676","5,162",S,"14,331"
Daggett2009,1037,"57,892","43,979",S,887,S,S,S,S,21,S,S,S,S,"17,346",6,"17,340",103,S,0,S,106,0,106,"6,355","1,727","4,628",S,"13,913"
Daggett2010,1077,"57,160","42,331",S,"1,461",S,S,S,S,15,4,S,S,S,"16,920",1,"16,919",107,S,0,S,55,16,39,"6,286","1,892","4,395",S,"14,829"
Daggett2011,1162,"69,814","54,312","1,880","1,173",S,S,S,S,11,4,S,S,S,"17,970",0,"17,970",S,38,0,S,22,22,0,"6,308","2,184","4,124",S,"15,502"
Daggett2012,1096,"57,154","41,911",S,S,S,S,S,S,19,11,S,S,S,"12,081",0,"12,081",S,54,0,S,40,40,0,"6,677","2,527","4,151",S,"15,243"
Daggett2013,1141,"55,192","40,178",S,384,"9,350",S,S,S,28,38,S,S,S,"12,690",2,"12,688",218,S,0,S,63,63,0,"6,469",S,S,S,"15,014"
Daggett2014,1125,"70,997","55,316",S,"1,619","12,843","1,055",S,S,20,11,S,S,S,S,568,S,"12,290",S,"12,023",S,47,47,0,"5,546","1,782","3,764",S,"15,681"
Daggett2015,1107,"133,355","117,170",S,529,S,"2,398",S,S,16,5,S,S,65,"14,170",712,"13,458",S,S,"10,572",133,37,35,2,"5,231",S,S,S,"16,185"
Daggett2016,1075,"124,182","108,150",S,524,"19,230","1,007",S,S,0,3,S,S,37,"14,190",290,"13,900",S,S,"12,107",S,4,3,1,"5,381",S,S,S,"16,032"
Daggett2017,1012,"167,787","151,956",S,678,"33,267",S,S,S,35,25,S,S,27,"14,975",0,"14,975","13,587",S,"12,860",S,240,46,194,"5,802",S,S,S,"15,831"
Daggett2018,984,"190,341","176,644",S,370,S,S,S,S,56,44,"1,624","112,619",S,"13,462",0,"13,462","11,223",S,"10,257",S,116,91,25,S,S,S,S,"13,697"
Daggett2019,964,"152,702","139,101",S,351,S,S,S,S,42,22,S,S,41,"14,739",0,"14,739","10,401",S,"9,467",S,105,75,30,S,S,S,S,"13,600"
Daggett2020,952,"141,308","126,867",S,161,"24,352",S,S,S,89,0,S,S,43,"14,413",0,"14,413","6,640",S,"5,735",S,S,56,S,"6,865",S,S,S,"14,440"
Daggett2021,977,"132,753","117,696","3,755",S,"15,987",S,169,84,85,0,S,S,43,"14,021",S,S,"6,769",94,S,S,S,60,S,"9,219","2,515","6,704",S,"15,057"
Daggett2022,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis2000,240422,,,,,,,,,,,,,,,,,,,,,,,,,,,,
