CountyYear,Pop,All industry total,Private industries,"                Agriculture, forestry, fishing and hunting","                Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"                Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"                        Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,"                Educational services, health care, and social assistance",Educational services,Health care and social assistance,"                Arts, entertainment, recreation, accommodation, and food services","                        Arts, entertainment, and recreation",Accommodation and food services,Other services (except government and government enterprises),Government and government enterprises
Salt2017,1137273,"87,907,426","78,179,343","21,821","1,198,195","343,690","4,627,698","8,249,040","4,927,200","3,321,841","5,641,524","5,818,643","4,011,149","4,199,868","22,647,658","12,976,847","9,670,810","11,149,563","6,442,193","1,711,905","2,995,464","5,507,927","964,750","4,543,177","2,654,601","695,974","1,958,628","2,107,968","9,728,083"
Salt2018,1148949,"96,667,230","86,598,433","26,604","1,367,748","469,841","5,102,741","9,221,134","5,220,896","4,000,238","5,919,381","6,178,867","4,205,508","4,544,721","26,489,783","15,494,326","10,995,457","12,184,734","7,339,356","1,753,896","3,091,482","5,763,707","1,048,056","4,715,651","2,895,819","756,334","2,139,485","2,227,845","10,068,797"
Salt2019,1158585,"102,542,795","92,024,329","19,275","1,424,868","618,524","5,835,548","9,515,053","5,355,798","4,159,256","6,329,899","6,382,436","4,744,947","5,032,630","27,473,639","16,562,326","10,911,313","13,084,811","7,918,821","1,778,548","3,387,442","6,145,000","1,199,716","4,945,284","3,113,364","770,790","2,342,574","2,304,334","10,518,466"
Salt2020,1186921,"104,508,602","93,546,357","22,214","1,478,216","820,455","6,357,325","8,539,068","5,367,172","3,171,896","6,749,677","6,673,788","3,607,435","5,416,684","29,046,763","17,396,592","11,650,171","13,666,170","8,377,183","1,942,355","3,346,632","6,267,032","1,235,121","5,031,911","2,519,377","584,732","1,934,644","2,382,152","10,962,245"
Salt2021,1186440,"115,948,610","104,406,624","22,924","1,553,973","816,140","6,648,940","10,169,635","5,817,579","4,352,056","7,793,607","7,579,767","4,255,957","6,108,103","31,459,591","19,014,697","12,444,894","15,282,107","9,667,180","1,979,874","3,635,054","6,916,207","1,471,464","5,444,743","3,229,163","756,057","2,473,106","2,570,509","11,541,986"
Salt2022,1186257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San2000,14334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San2001,13495,"275,939","198,460","3,761","53,644",594,"7,742","20,329","2,324","18,005","5,058","11,397","3,143",S,"43,244",S,S,S,S,"10,487","1,374","8,882",S,S,"16,994",S,S,"9,702","77,478"
San2002,13662,"283,579","204,428","3,030","50,896",712,"11,312","16,391","2,022","14,369","4,774","8,969","3,321",503,"48,783","4,512","44,271","14,444",S,S,"1,588","10,063",S,S,"20,381",S,S,"10,850","79,151"
San2003,13571,"296,423","214,727",450,"68,562",825,"9,768","11,134",S,S,"4,640","8,134","3,031",548,"51,582","4,813","46,769","12,879",S,S,"1,586","11,313",S,S,"21,256",S,S,"10,607","81,696"
San2004,13723,"313,844","223,485","2,944","84,008",877,"8,703","8,042",S,S,"4,928","9,104","2,970",796,"49,595",S,S,"3,863",S,S,"1,299","13,611","2,437","11,173","23,302",S,S,"10,742","90,359"
San2005,13653,"386,688","295,132","7,889","120,302",712,"14,981","7,527","1,522","6,006",S,"8,432","3,478","2,134","62,215","4,734","57,480",S,S,S,"1,650","16,396","2,286","14,110","23,058",S,S,"9,792","91,556"
San2006,13679,"417,362","325,623",670,"152,169",S,"13,807","5,330",S,S,S,"8,993","3,595","10,458","63,448","4,820","58,628","5,637",S,S,"2,307","19,575","2,520","17,055","25,783",S,S,"10,241","91,739"
San2007,14028,"480,054","382,159","9,120","182,485",S,"16,001","3,169",S,S,S,"9,258","3,622","9,521","62,336","3,983","58,354","16,007",S,S,"4,644","21,094","2,807","18,287","32,262",S,S,"11,039","97,895"
San2008,14436,"509,281","408,147","9,220","179,872",S,"13,147","5,542",S,S,S,"10,660","3,583","17,184","78,589","3,088","75,501","20,710",S,S,"7,320","22,391",S,S,"30,044","4,995","25,049","11,987","101,134"
San2009,14514,"502,689","403,503","5,636","173,418",S,"11,130","7,916","3,077","4,839",S,"11,027","3,333","8,071","91,188","2,467","88,720","21,472",S,S,"8,996","27,183",S,S,"26,083","2,456","23,627","12,245","99,186"
San2010,14837,"559,636","457,816","6,391","234,154",824,"20,748","5,584","2,218","3,366",S,"11,270","2,473",S,"89,934","3,334","86,599","11,526",S,S,"7,553","29,288",S,S,"25,081","1,722","23,359","11,917","101,819"
San2011,14850,"586,466","483,578","1,257","263,026",833,"16,253","4,864",S,S,S,"11,168","3,369",S,"94,038","3,133","90,905","11,557",S,S,"7,455","34,114",S,S,"25,567","1,743","23,824","11,992","102,888"
San2012,15052,"527,623","427,542","3,711","231,985",791,"14,791","5,709",S,S,"5,005","10,834",S,S,"65,100","3,706","61,395","12,480",S,S,"9,681","36,500",S,S,"24,915",S,S,"12,832","100,082"
San2013,15003,"540,861","438,110","3,300","212,254",984,"36,830","9,269","6,560","2,709","4,396","11,914",S,S,"67,886","3,235","64,651","6,093",S,S,"2,916","43,514","4,286","39,228","25,448",S,S,S,"102,751"
San2014,15074,"521,099","416,421","1,168","208,493","1,413","16,743","7,356","4,369","2,987",S,"13,306","4,535",S,"69,231","3,508","65,723",S,"2,731",S,"2,317","45,602","5,139","40,463","25,199",S,S,"13,561","104,677"
San2015,15254,"438,578","329,271",937,"113,384","1,809","16,669","6,403",S,S,S,"13,425","6,056",S,"71,935","3,776","68,158",S,S,0,"2,086","46,901","5,230","41,671","28,028",S,S,"13,227","109,308"
San2016,15346,"442,936","329,243","5,240","101,743","5,442","15,136","5,632",S,S,S,"12,921",S,S,"75,317","3,828","71,489","5,307","3,316",0,"1,990","49,511","6,037","43,474","31,677",S,S,S,"113,692"
San2017,15286,"475,307","357,803","2,485","114,912","8,693","17,082","6,492",S,S,S,"11,487",S,S,"82,414","4,541","77,873","6,425",S,S,"2,259","51,719","5,744","45,975","36,841",S,S,S,"117,504"
San2018,15336,"478,600","364,829","2,488","107,929","10,381","17,868","8,202",S,S,S,"11,985","4,816",S,"75,432","5,219","70,214",S,"4,744",S,"2,481","52,885",S,S,"46,914",S,S,"15,146","113,771"
San2019,15228,"499,180","383,897","4,924","98,171",S,"19,469","12,952",S,S,"2,584","12,578","5,989",S,"81,381","5,717","75,664","10,497",S,S,"2,638","54,249",S,S,"49,518",S,S,"15,394","115,283"
San2020,14517,"456,229","339,919","14,784","59,829","20,252","14,854","13,146","2,980","10,166",S,"11,905","8,421",S,"82,572","7,151","75,421","10,845",S,S,"2,585","54,887",S,S,"28,115",400,"27,715",S,"116,311"
San2021,14476,"542,515","421,060","1,669","131,786","21,478","15,013","13,875","3,166","10,708",S,"13,313","8,344",S,"82,390","8,927","73,462","12,448",S,S,"3,252","61,040",S,S,"39,097",S,S,"17,624","121,456"
San2022,14359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanpete2000,22806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanpete2001,23294,"378,585","275,924","45,457",603,S,"21,339","33,702",S,S,S,"26,623","9,593","18,584","69,250","12,709","56,540","9,139","3,366",S,S,"15,550",S,S,"6,629",787,"5,842","14,830","102,661"
Sanpete2002,23566,"403,027","298,336","49,517","1,050",991,"26,390","38,420",S,S,"3,893","27,149",S,"19,941","76,106","15,253","60,852",S,"4,038",S,S,"16,749",S,S,"6,832",875,"5,957","16,682","104,691"
Sanpete2003,23866,"389,365","282,104","9,494","1,231",403,"24,167","42,504",S,S,"3,750","28,512",S,"24,986","78,635","15,878","62,757",S,"4,591",S,S,"18,481",S,S,"7,356",688,"6,668","17,792","107,261"
Sanpete2004,24217,"404,853","289,915","2,624","1,091",426,"17,995","36,780",S,S,"4,395","29,723",S,"37,130","79,966","15,235","64,732",S,"5,065",S,S,"20,843",S,S,"7,341",794,"6,547","18,686","114,939"
Sanpete2005,24607,"459,163","337,071","9,819","13,879",713,"22,581","36,294",S,S,S,"29,550","9,781","50,415","94,508","14,620","79,888",S,"6,443",S,S,"22,223",S,S,"7,157",763,"6,393","18,342","122,091"
Sanpete2006,25051,"537,323","408,222","36,430","14,218",745,"31,602","37,640",S,S,S,"32,677","11,866","68,209","99,803","16,273","83,530",S,"6,250",S,S,"26,111",S,S,"7,042",743,"6,299","18,305","129,101"
Sanpete2007,25846,"558,745","425,603","13,573","12,872",604,"40,503","46,041",S,S,S,"35,879","11,341","71,975","113,568","15,833","97,735",S,"6,649",S,S,"28,916",S,S,"7,079",827,"6,252","18,598","133,142"
Sanpete2008,26959,"638,328","495,929","59,926","17,262","1,057","28,379","51,011",S,S,S,"37,335","9,780","77,661","122,904","12,750","110,154",S,"6,686",S,S,"33,488",S,S,"7,439","1,011","6,428","21,185","142,398"
Sanpete2009,27511,"596,186","452,514","21,779","10,970","1,050","35,325","54,986",S,S,S,"36,007","8,616","62,872","130,440","9,523","120,917",S,S,S,"3,486","35,645",S,S,"7,693","1,068","6,625","22,514","143,673"
Sanpete2010,27938,"662,150","514,752","92,457","10,720","1,020","36,304","56,436",S,S,"6,043","31,895","8,031","47,674","136,397","10,030","126,367","21,936",S,S,"4,038","36,838",S,S,"7,831","1,285","6,547","21,170","147,397"
Sanpete2011,28000,"630,044","480,585","74,797","12,748","1,202","23,867","50,348",S,S,"6,536","30,944","8,360","37,936","141,380","11,233","130,147","21,838",S,S,"3,494","40,080","10,748","29,333","9,263","1,837","7,426","21,286","149,459"
Sanpete2012,27958,"637,650","489,624","82,410","12,515","1,398","29,485","49,926",S,S,"6,107","31,798","9,952","31,388","134,242","12,586","121,657","24,517",S,S,"4,262","42,910","12,430","30,479","10,486","2,061","8,425","22,491","148,026"
Sanpete2013,28130,"636,375","491,018","95,259","12,865","1,442","27,773","51,402","29,209","22,194","5,907","32,146","12,876","30,264","119,847","11,713","108,133","25,105",S,S,"4,769","44,750","13,295","31,455","9,512","1,232","8,280","21,871","145,357"
Sanpete2014,28299,"642,570","492,149","111,313","7,514","1,921","27,842","55,986","31,994","23,992","5,806","32,121","14,457","27,919","102,559","11,199","91,361","25,462",S,S,"6,183","44,562","13,378","31,185","10,991","1,437","9,554","23,696","150,421"
Sanpete2015,28663,"745,323","590,729","182,602","5,872","2,384","32,568","66,515","39,629","26,886","5,969","34,578","17,033","28,387","104,436","11,624","92,812","27,582","6,524","11,436","9,622","45,989","13,576","32,413","12,138","1,240","10,898","24,676","154,594"
Sanpete2016,29244,"762,211","598,142","157,615","5,771","2,208","35,433","74,048","47,001","27,047","6,460","36,405","15,540","35,026","109,029","11,784","97,244","30,372",S,S,"10,244","50,904","15,784","35,120","13,469","1,148","12,321","25,863","164,069"
Sanpete2017,29953,"793,244","623,293","153,918","6,819",S,"36,129","86,335","53,133","33,201",S,"37,405","15,161","40,026","111,466","12,748","98,719","31,452",S,S,"8,682","51,880","15,368","36,512","16,960","1,385","15,575","25,808","169,951"
Sanpete2018,30529,"879,499","683,548","161,765","6,481","5,233","37,064","97,218","61,336","35,882","7,738","40,716","13,625","54,659","125,795","13,249","112,546","33,034","14,546","10,954","7,534","54,796","16,032","38,764","18,484","1,431","17,053","26,939","195,951"
Sanpete2019,30986,"853,980","646,663","71,484","4,039","7,520","37,943","121,461","66,185","55,277","9,802","42,019","14,024","69,163","135,792","13,473","122,318","29,793","11,901",S,S,"56,670","17,470","39,200","19,883","1,555","18,328","27,072","207,317"
Sanpete2020,28521,"912,953","701,361","91,238","4,091","12,293","42,889","132,949","67,198","65,751","10,474","46,326","14,055","62,352","159,413","26,735","132,678","26,516","11,639","7,489","7,387","53,471",S,S,"13,989","1,482","12,507","31,308","211,592"
Sanpete2021,29138,"1,024,051","802,460","130,329","10,341","12,780","53,525","147,141","70,002","77,139","12,091","53,919","15,912","62,345","169,632","26,178","143,454","30,610","13,622","7,807","9,181","55,003",S,S,"16,367","1,643","14,724","32,464","221,591"
Sanpete2022,29724,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevier2000,18877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevier2001,18975,"480,083","403,826","30,746","64,764","3,620","19,495","41,245","12,900","28,345",S,"45,087","43,368","4,182","66,960","12,791","54,169","22,936","5,854","12,231","4,851",S,S,S,"13,593","1,060","12,534","17,917","76,257"
Sevier2002,19088,"472,921","395,052","28,869","55,479","4,580","18,469","30,550","12,818","17,732",S,"46,444","46,527","5,034","72,497","15,750","56,747",S,S,S,"5,587","21,837",S,S,"14,468",670,"13,798","16,888","77,869"
Sevier2003,19192,"484,023","404,484","21,725","50,467","4,588","20,436","40,909","13,158","27,752",S,"49,184","51,518","5,777","75,989","16,201","59,788",S,"6,818",S,S,"22,018",S,S,"14,313",867,"13,446","16,640","79,539"
Sevier2004,19412,"527,790","444,137","28,447","60,066","4,977","15,992","44,398","14,834","29,564",S,"57,800","53,599","6,845","75,170","17,032","58,138",S,"7,974",S,S,"23,748",S,S,"15,644",891,"14,754","16,742","83,653"
Sevier2005,19415,"585,888","497,765","22,358","95,555","4,947","13,943","56,586","16,958","39,628",S,"56,148","57,574","9,021","88,051","16,169","71,883",S,"8,456",S,S,"25,646",S,S,"15,193",287,"14,906","15,584","88,123"
Sevier2006,19844,"672,878","579,769","3,169","141,935","5,523","18,331","74,065","18,871","55,194",S,"59,825","62,248","10,603","94,545","17,772","76,774",S,"11,538",S,S,"29,599",S,S,"17,142",176,"16,966","16,085","93,109"
Sevier2007,20236,"731,017","634,849","8,719","146,466","5,634","34,535","79,043","23,953","55,090",S,"62,590","62,792","12,712","107,816","17,562","90,254","28,759","14,068","8,723","5,967",S,S,S,"19,433",175,"19,259","16,583","96,168"
Sevier2008,20599,"762,044","661,491","1,518","176,448","5,520","23,980","73,149","19,767","53,382",S,"61,241","68,826","12,443","112,886","14,630","98,256","35,643","17,899","11,274","6,470",S,S,S,"21,922",134,"21,788","18,373","100,553"
Sevier2009,20694,"758,066","657,069","15,994","213,835","5,676","19,523","35,384","14,078","21,305",S,"58,569","67,593","10,620","111,600","12,134","99,467","30,870","15,111","10,081","5,678",S,S,S,"20,355",196,"20,159","18,560","100,997"
Sevier2010,20799,"797,789","693,713","8,251","227,073","6,066","21,373","50,707","21,276","29,431",S,"57,258","69,069","8,736","121,641","12,909","108,732","33,018","14,482","12,848","5,688",S,S,S,"21,577",488,"21,089","18,236","104,076"
Sevier2011,20872,"852,338","745,759","5,343","277,169","5,796","15,867","66,349","24,689","41,660",S,"56,998","71,260","8,006","122,858","12,770","110,088",S,"15,094",S,S,"36,862",S,S,"21,025",778,"20,247","18,463","106,580"
Sevier2012,20662,"791,548","687,360",543,"235,774","5,448","16,706","47,731","17,406","30,325",S,"59,936","77,046","7,947","97,981","13,452","84,529",S,"15,419",S,S,"41,852",S,S,"21,334","1,103","20,231","19,498","104,188"
Sevier2013,20758,"882,874","779,989",S,"258,164",S,"17,735","65,596","17,563","48,033",S,"62,760","75,782","7,544","99,382","13,274","86,108","38,853","18,010","14,193","6,650","46,190",920,"45,270","20,804","1,013","19,791","19,455","102,885"
Sevier2014,20746,"942,515","836,210","60,607","303,874","5,891","24,682","53,468","17,396","36,072",S,"62,280","69,816","6,601","97,099","14,095","83,004","36,940","18,488","12,051","6,401",S,S,S,"21,718",670,"21,048","19,920","106,305"
Sevier2015,20872,"935,597","827,072","63,438","282,663","5,677","23,750","46,348","18,606","27,742",S,"65,958","72,139","5,568","101,208","14,757","86,451","37,666","18,796","10,578","8,292",S,S,S,"24,212",501,"23,712","20,272","108,524"
Sevier2016,21145,"985,590","874,606","92,044","285,183","6,281","22,190","42,356","18,985","23,370",S,"69,238","76,466","4,974","107,631","16,465","91,166","39,342","18,117","12,154","9,072",S,S,S,"25,164",771,"24,393","19,967","110,984"
Sevier2017,21299,"1,121,101","1,009,036","101,992","354,036","6,486","29,812","68,458","25,736","42,722",S,"71,706","84,677","4,700","109,582","17,624","91,957","40,905","18,678","12,813","9,414",S,S,S,"27,378",841,"26,538","20,884","112,065"
Sevier2018,21516,"1,193,956","1,063,521",S,"321,074",S,"27,448","119,611","29,128","90,483",S,"77,778","90,787","4,004","122,398","18,365","104,033","45,348","24,102","10,206","11,040","66,066","1,744","64,322","28,202",828,"27,373","21,793","130,434"
Sevier2019,21636,"1,200,132","1,067,570","87,133","309,471","6,514","31,989","138,907","28,675","110,231",S,"80,069","91,823","4,032","124,925","19,148","105,777","46,558","26,560","9,758","10,240",S,S,S,"30,247","1,011","29,236","23,624","132,562"
Sevier2020,21561,"1,162,304","1,024,558","80,004","307,747","8,466","35,709","75,662","28,485","47,177","32,539","86,337","93,584","3,935","139,045","22,978","116,067","44,988","28,409","6,032","10,547","62,793",S,S,"26,196",959,"25,237","27,552","137,746"
Sevier2021,21918,"1,285,963","1,140,274","83,222","296,022","15,581","36,016","140,491","32,696","107,796",S,"94,643","97,667","4,185","152,370","25,380","126,990","49,145","30,491","6,269","12,385",S,S,S,"33,743","1,552","32,191","29,497","145,689"
Sevier2022,22069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summit2000,29964,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summit2001,30803,"1,207,226","1,098,591","20,767","60,268","3,404","142,019","47,139","43,053","4,086","28,235","83,696","17,246","27,430","236,981","39,047","197,934","131,206","92,565","15,437","23,204","30,383","7,648","22,735","227,547","103,436","124,110","42,272","108,635"
Summit2002,31536,"1,195,465","1,083,861","17,779","40,083","3,840","112,974","44,832","40,783","4,050","27,892","94,044","18,616","31,583","235,926","47,102","188,824","126,574","84,808","17,446","24,319","35,191","10,614","24,577","241,560","106,273","135,287","52,967","111,604"
Summit2003,32353,"1,304,580","1,184,326","19,208","51,665","4,319","90,237","61,954","57,877","4,077","26,943","110,028","15,014","33,439","306,461","54,714","251,747","118,936","78,719","15,783","24,435","38,719","12,003","26,716","252,913","113,217","139,696","54,489","120,254"
Summit2004,33271,"1,539,339","1,409,229","27,069","50,328","4,574","119,809","93,772","88,841","4,932","30,122","126,116","16,103","37,756","395,521","69,294","326,228","139,376","94,628","16,055","28,694","43,901","14,034","29,867","265,641","127,452","138,189","59,139","130,110"
Summit2005,34137,"1,937,367","1,799,893","28,426","57,618","4,341","178,861","249,202","244,151","5,052","35,793","125,369","17,606","42,787","496,424","70,717","425,706","162,674","111,717","17,461","33,496","44,622","13,994","30,628","292,612","139,764","152,848","63,558","137,474"
Summit2006,34242,"2,203,319","2,050,633","26,207","47,933","5,089","252,668","272,033","266,929","5,103","40,082","159,628","21,607","53,780","529,991","74,653","455,338","190,255","129,724","19,683","40,848","47,533","16,464","31,068","337,524","160,078","177,447","66,303","152,686"
Summit2007,34647,"2,165,824","2,002,664","14,412","53,630","4,590","287,776","52,994","47,013","5,981","44,305","171,800","20,311","57,182","574,078","75,958","498,119","212,894","130,458","33,727","48,708","51,556","16,205","35,351","393,602","185,270","208,332","63,534","163,160"
Summit2008,35229,"2,317,390","2,139,755","10,356","51,286","5,775","266,862","66,145","59,404","6,741","43,684","164,269","22,969","50,081","682,139","142,366","539,774","224,863","144,724","29,367","50,773","56,338","18,182","38,156","431,145","172,346","258,798","63,841","177,636"
Summit2009,35838,"2,018,840","1,837,639","7,627","35,783","6,277","134,409","73,342","62,988","10,354","42,344","154,135","26,316","49,225","586,671","99,731","486,940","197,862","133,403","19,563","44,895","62,379","17,630","44,748","395,193","170,201","224,992","66,076","181,202"
Summit2010,36502,"2,144,411","1,956,661","17,505","36,586","6,517","125,937","105,451","88,781","16,670","47,408","157,562","31,204","48,031","625,142","121,012","504,130","198,715","133,214","24,617","40,883","73,818","18,020","55,798","416,439","191,776","224,663","66,344","187,750"
Summit2011,37438,"2,194,477","2,003,272","18,983","37,276","6,872","80,855","106,126","80,780","25,346","57,994","163,512","37,879","39,886","627,364","82,435","544,930","211,807","145,000","23,331","43,476","82,775","20,496","62,279","466,199","208,171","258,028","65,742","191,205"
Summit2012,37886,"2,318,939","2,134,287",S,"36,941",S,"72,278","103,095","78,341","24,753","66,838","175,325","40,752",S,"683,656","102,680","580,976","246,362","167,297","26,652","52,413","93,420","20,753","72,668","491,243","218,402","272,840","71,317","184,652"
Summit2013,38447,"2,450,211","2,267,633","19,230","35,036","5,744","95,615","96,512","74,755","21,757","63,408","186,967","42,156","47,460","697,853","87,372","610,481","271,301","190,797","25,348","55,155","99,548","20,000","79,548","535,206","246,418","288,788","71,597","182,578"
Summit2014,39144,"2,658,304","2,463,961","28,358","44,146","6,315","132,955","89,345","73,846","15,499","55,860","192,997","33,561","53,117","758,379","100,618","657,761","296,495","212,587","28,247","55,661","106,477","21,317","85,160","589,312","275,193","314,118","76,643","194,344"
Summit2015,39675,"2,829,186","2,627,094","24,479","27,481","7,569","132,410","98,948","81,969","16,978","49,632","213,688","35,138","61,532","815,847","123,179","692,667","320,057","226,276","37,328","56,453","114,842","24,529","90,313","649,331","283,336","365,995","76,141","202,092"
Summit2016,40564,"2,996,228","2,786,883","27,839","22,252","7,248","141,549","111,659","94,140","17,519","52,829","214,209","36,565",S,"844,399","97,599","746,800","351,327","244,709","40,360","66,258","128,907","24,532","104,375","692,170","315,893","376,276",S,"209,344"
Summit2017,41375,"3,312,980","3,087,926","20,632","38,559","9,498","224,022","108,390","87,727","20,663","70,852","229,140","38,883","69,310","919,501","114,377","805,124","382,791","266,362","43,325","73,103","138,128","21,614","116,513","747,161","357,509","389,652","91,059","225,054"
Summit2018,41879,"3,570,342","3,340,393","21,317","37,984","12,013","223,342","124,668","98,814","25,854","80,163","257,149","38,621","86,823","1,038,786","113,615","925,171","411,420","292,886","42,245","76,289","150,235","23,537","126,698","758,237","343,518","414,719","99,638","229,949"
Summit2019,42081,"3,652,926","3,413,666","17,181","33,772","15,337","228,066","136,271","101,768","34,503","82,798","264,453","35,549","97,764","995,725","124,437","871,288","431,679","303,350","47,421","80,908","163,659","28,841","134,819","808,853","339,532","469,322","102,559","239,260"
Summit2020,42482,"3,582,557","3,344,192","21,502","31,508","22,072","225,980","150,098","112,924","37,174","102,935","251,287","45,698","121,541","1,044,274","133,246","911,027","439,872","316,884","43,361","79,627","161,671","26,221","135,450","624,654","281,277","343,377","101,099","238,365"
Summit2021,43168,"4,091,765","3,845,011","16,207","38,936","23,547","306,054","151,030","107,866","43,164","128,279","286,939","50,264","131,442","1,143,831","158,743","985,088","504,711","362,833","47,829","94,049","170,011","26,379","143,632","784,179","335,139","449,039","109,581","246,753"
Summit2022,43036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tooele2000,41519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tooele2001,43331,"879,720","646,908",490,"5,622",S,"48,401","145,541","112,125","33,416",S,"53,597","12,131","12,584","118,992","10,862","108,129","171,046",S,S,"117,739","24,042",S,S,"20,194",955,"19,240","28,360","232,812"
Tooele2002,44998,"918,386","670,984","6,226","9,593",S,"38,071","134,774","100,179","34,594",S,"57,074","11,590","15,994","123,849","14,408","109,442","183,677",S,S,"134,019","27,464",S,S,S,S,S,"32,776","247,402"
Tooele2003,46652,"1,006,509","732,527","2,939","3,102",S,"24,678","190,917","152,330","38,587",S,"66,082","10,732","18,062","129,830","15,398","114,432","192,962",S,S,"145,266","28,871",S,S,"22,109","1,548","20,561","35,186","273,981"
Tooele2004,47894,"1,268,813","976,459",S,"3,866",S,"55,694","378,441","341,353","37,087",S,"77,586","13,301","23,677","127,612","14,246","113,366","194,693","37,932","10,482","146,279","31,840",161,"31,678","21,787","1,937","19,850","37,799","292,354"
Tooele2005,49258,"1,464,939","1,142,858","1,630","5,666",S,"84,141","421,157","392,716","28,441",S,"73,934","54,813","32,215","156,385","14,650","141,735","206,249","43,025","8,583","154,641",S,S,S,"24,848","2,604","22,244","37,807","322,082"
Tooele2006,51483,"1,468,880","1,139,307",S,"3,800",S,"62,037","373,730","345,412","28,318",S,"80,040","82,207","39,383","156,237","16,666","139,571","206,201","46,550","9,582","150,070","40,139",346,"39,794","29,532","4,714","24,818","40,266","329,573"
Tooele2007,53821,"1,564,031","1,218,792",S,"4,249",S,"166,339","275,119","242,027","33,092",S,"81,875","84,528","45,895","183,806","16,803","167,003","233,157","51,601","8,716","172,840","44,272",706,"43,566","33,115","6,894","26,221","44,021","345,238"
Tooele2008,55909,"1,550,613","1,193,270",S,"5,462",S,"189,054","201,910","166,704","35,207",S,"76,113","82,761","37,971","189,545","14,984","174,561","254,646","57,462","11,276","185,908","51,220",920,"50,299","35,584","9,909","25,675","47,329","357,343"
Tooele2009,57218,"1,602,479","1,213,751","7,119","26,945",S,"104,819","262,926","222,094","40,832",S,"74,056","76,697","25,526","192,660","14,819","177,841","287,418",S,S,"216,537","57,599","2,114","55,486","34,244","10,067","24,176","49,663","388,728"
Tooele2010,58502,"2,140,660","1,752,510","13,350","35,164",S,"74,196","701,914","662,106","39,808",S,"73,030","71,809","21,949","208,231","15,980","192,251","363,840",S,S,"287,320","64,759","4,109","60,650","60,611","34,660","25,950","49,328","388,150"
Tooele2011,59198,"2,290,402","1,884,973","10,738","41,334",S,"63,409","835,814","790,640","45,175",S,"75,548","65,860","19,554","211,513","18,839","192,674","349,388",S,S,"268,730","67,931","4,626","63,305","76,987","50,066","26,921","51,429","405,430"
Tooele2012,59810,"1,920,004","1,532,555","8,459","29,757","10,704","58,319","416,213","367,389","48,824","13,046","80,029","86,633",S,"246,742","26,855","219,887","369,547",S,S,"283,565","70,674","5,378","65,295","69,745","41,006","28,739",S,"387,449"
Tooele2013,60655,"1,852,243","1,501,298","10,873","32,901",S,"72,764","377,502","310,069","67,433",S,"84,112","93,746","20,383","242,384","18,921","223,463","350,677",S,S,"257,236","93,120","5,821","87,299","43,052","13,591","29,461","56,443","350,945"
Tooele2014,61473,"1,787,205","1,445,560","6,910","47,746","10,839","92,010","385,943","244,607","141,337","14,917","81,976","97,978","19,993","220,486","19,558","200,928","292,788",S,S,"207,543","69,996","5,928","64,068","44,484","13,323","31,162","59,493","341,645"
Tooele2015,62676,"1,743,952","1,406,024","35,137","32,037","11,973","81,016","368,224","215,929","152,295","17,043","87,813","99,432","20,954","261,104","18,835","242,269","208,053",S,S,"139,487","73,987","5,379","68,609","48,093","13,407","34,686","61,158","337,928"
Tooele2016,64643,"1,740,642","1,390,052","7,490","31,335",S,"98,363","322,504","192,087","130,418","18,660","97,575","123,923",S,"264,190","18,970","245,220","196,786",S,S,"134,718","83,709","9,092","74,617","48,870","11,950","36,920","64,781","350,590"
Tooele2017,67490,"1,737,605","1,371,367","2,378","38,296","14,175","116,922","247,812","187,649","60,163","17,930","100,137","130,068","21,888","264,203","19,872","244,332","204,439",S,S,"148,664","92,629","10,888","81,740","53,652","12,396","41,257","66,835","366,238"
Tooele2018,69946,"1,856,845","1,482,985","10,783","35,029","15,369","128,890","277,148","219,986","57,161","19,267","105,298","128,614","19,978","318,522","21,414","297,108","190,230",S,S,"134,641","104,291","14,106","90,184","57,916","12,279","45,636","71,652","373,860"
Tooele2019,72110,"1,942,879","1,540,835","1,536","47,790","16,364","139,732","319,510","228,191","91,319","18,545","117,428","115,683","21,029","313,639","26,030","287,608","177,424","52,160","11,802","113,462","117,142","19,699","97,442","59,433","10,323","49,111","75,579","402,045"
Tooele2020,73338,"2,159,300","1,738,004",607,"60,315","20,277","176,345","402,797","293,335","109,463","19,996","132,597","120,231","20,517","346,727","32,413","314,314","180,499",S,S,"115,661","114,596","21,144","93,452","54,518","8,740","45,778","87,981","421,296"
